Time,Date,Merchant,Gateway,Amount,Status,UTR,TXID
5:29:55 PM,9/27/2024,gennpay,airpay,810,success,427170253477,430569224
5:31:10 PM,9/27/2024,gennpay,airpay,500,failed,,430570216
5:31:48 PM,9/27/2024,gennpay,airpay,1100,success,427174285726,430570816
5:33:23 PM,9/27/2024,gennpay,airpay,500,failed,427152256609,430572579
5:34:11 PM,9/27/2024,gennpay,airpay,1000,success,427139666765,430573080
5:34:18 PM,9/27/2024,gennpay,airpay,500,success,427181046641,430573158
5:34:23 PM,9/27/2024,gennpay,airpay,2000,failed,,430573216
5:34:47 PM,9/27/2024,gennpay,airpay,500,failed,,430573439
5:35:26 PM,9/27/2024,gennpay,airpay,500,success,427122941313,430573883
5:35:36 PM,9/27/2024,gennpay,airpay,500,success,427171947952,430573985
5:38:05 PM,9/27/2024,gennpay,airpay,5000,success,427128837952,430576008
5:38:23 PM,9/27/2024,gennpay,airpay,500,success,427113525880,430576221
5:38:31 PM,9/27/2024,gennpay,airpay,1000,success,427130851109,430576328
5:38:48 PM,9/27/2024,gennpay,airpay,500,success,427182429281,430576578
5:39:40 PM,9/27/2024,gennpay,airpay,550,success,427134735169,430577281
5:40:25 PM,9/27/2024,gennpay,airpay,1200,success,357964846548,430577952
5:40:41 PM,9/27/2024,gennpay,airpay,500,success,427172742937,430578195
5:41:18 PM,9/27/2024,gennpay,airpay,500,success,667369351541,430578698
5:42:39 PM,9/27/2024,gennpay,airpay,500,success,427152957275,430579797
5:42:57 PM,9/27/2024,gennpay,airpay,500,failed,,430580042
